pl_name,hostname,sy_snum,sy_pnum,discoverymethod,st_spectype,releasedate,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_logg
GJ 806 b,GJ 806,1,2,Transit,M1.5 V,2023-11-28,2023,Transiting Exoplanet Survey Satellite (TESS),0.9263237,0.01406,1.331,1.9,940,3600,0.41,0.41,4.98
GJ 9827 b,GJ 9827,1,3,Transit,K7 V,2024-03-25,2017,K2,1.208974,0.0189,1.44,4.28,1035,4236,0.58,0.62,4.72
GJ 9827 c,GJ 9827,1,3,Transit,K7 V,2024-03-25,2017,K2,3.648103,0.0395,1.13,1.86,716,4236,0.58,0.62,4.72
GJ 9827 d,GJ 9827,1,3,Transit,K7 V,2024-03-25,2017,K2,6.201812,0.0563,1.89,3.02,600,4236,0.58,0.62,4.72
GPX-1 b,GPX-1,1,1,Transit,F2,2021-10-04,2021,Acton Sky Portal Observatory,1.744579,0.0338,16.477,6261.21962,2300,7000,1.56,1.68,4.27
GQ Lup b,GQ Lup,1,1,Imaging,K7e V,2014-05-14,2004,Paranal Observatory,,100,33.6,6356,2650,,,0.7,
GU Psc b,GU Psc,1,1,Imaging,M3,2014-05-14,2014,Gemini Observatory,,2000,14.179,3591.3,1050,,,0.33,
Gliese 12 b,Gliese 12,1,1,Transit,M3.0 V,2024-05-21,2024,Transiting Exoplanet Survey Satellite (TESS),12.761408,0.0668,0.958,3.87,315,3296,0.26,0.24,5.21
HAT-P-1 b,HAT-P-1,2,1,Transit,,2015-09-10,2006,HATNet,4.46529976,0.05561,14.785,166.86075,1322,5980,1.17,1.15,4.36
HAT-P-12 b,HAT-P-12,1,1,Transit,K4,2014-05-14,2009,HATNet,3.2130598,0.0384,10.749,67.059,963,4650,0.7,0.73,4.61
HAT-P-16 b,HAT-P-16,3,1,Transit,F8,2014-05-14,2010,HATNet,2.77596,0.0413,14.448,1332.605,1626,6158,1.24,1.22,4.34
HAT-P-18 b,HAT-P-18,1,1,Transit,K2,2014-05-14,2010,HATNet,5.508023,0.0559,11.153,62.61,852,4803,0.75,0.77,4.57
HAT-P-19 b,HAT-P-19,1,1,Transit,,2024-01-22,2010,HATNet,4.00878322,0.04599,11.299,88.03847,981,4962,0.77,0.81,4.57
HAT-P-20 b,HAT-P-20,1,1,Transit,K3,2014-05-14,2010,HATNet,2.875317,0.0361,9.718,2302.899,970,4595,0.69,0.76,4.63
HAT-P-23 b,HAT-P-23,1,1,Transit,G0,2014-05-14,2010,HATNet,1.212884,0.0232,15.334,664.237,2056,5905,1.2,1.13,4.33
HAT-P-25 b,HAT-P-25,1,1,Transit,,2019-01-17,2010,HATNet,3.65281514,0.0466,12.722,180.84527,1182,5519,0.92,1.01,4.52
HAT-P-28 b,HAT-P-28,1,1,Transit,G3,2014-05-14,2011,HATNet,3.257215,0.0434,13.585,198.953,1384,5680,1.1,1.02,4.36
HAT-P-32 b,HAT-P-32,2,1,Transit,,2019-07-11,2011,HATNet,2.1500082,0.03397,22.194,216.1244,1836,6001,1.37,1.13,4.22
HAT-P-36 b,HAT-P-36,1,1,Transit,,2019-07-11,2011,HATNet,1.32734683,0.0241,14.314,587.41341,1781,5620,1.04,1.03,
HAT-P-37 b,HAT-P-37,1,1,Transit,,2014-05-14,2011,HATNet,2.797436,0.0379,13.204,371.528,1271,5500,0.88,0.93,
HAT-P-38 b,HAT-P-38,1,1,Transit,,2014-05-14,2012,HATNet,4.640382,0.0523,9.247,84.857,1082,5330,0.92,0.89,
HAT-P-39 b,HAT-P-39,2,1,Transit,,2014-05-14,2012,HATNet,3.54387,0.0509,17.609,190.372,1752,6430,1.62,1.4,
HAT-P-4 b,HAT-P-4,2,1,Transit,,2014-05-14,2007,HATNet,3.056536,0.04438,14.28,213.255,1686,5860,,,
HAT-P-42 b,HAT-P-42,1,1,Transit,,2014-05-14,2012,HATNet,4.641878,0.0575,14.348,331.801,1428,5743,1.53,1.18,4.14
HAT-P-44 b,HAT-P-44,1,2,Transit,,2014-05-14,2014,HATNet,4.301219,0.0507,13.922,111.871,1108,5295,0.95,0.94,4.46
HAT-P-45 b,HAT-P-45,1,1,Transit,,2014-05-14,2014,HATNet,3.128992,0.0452,15.984,283.492,1652,6330,1.32,1.26,4.3
HAT-P-46 b,HAT-P-46,1,1,Transit,,2014-05-14,2014,HATNet,4.463129,0.0577,14.392,156.684,1458,6120,1.4,1.28,4.25
HAT-P-50 b,HAT-P-50,1,1,Transit,,2015-11-19,2015,HATNet,3.1220109,0.0453,14.437,429.0705,1862,6280,1.7,1.27,4.07
HAT-P-51 b,HAT-P-51,1,1,Transit,,2024-01-22,2015,HATNet,4.21802091,0.05042,13.507,97.57332,1168,5453,0.99,0.96,4.43
HAT-P-52 b,HAT-P-52,1,1,Transit,,2015-11-19,2015,HATNet,2.7535953,0.03694,11.31,259.98494,1218,5131,0.89,0.89,4.48
HAT-P-53 b,HAT-P-53,1,1,Transit,,2015-11-19,2015,HATNet,1.9616241,0.03159,14.773,471.65972,1778,5956,1.21,1.09,4.31
HAT-P-54 b,HAT-P-54,1,1,Transit,,2015-04-24,2015,HATNet,3.799847,0.04117,10.581,241.5508,818,4390,0.62,0.65,4.67
HAT-P-55 b,HAT-P-55,1,1,Transit,,2024-01-22,2015,HATNet,3.5852313,0.04628,14.841,189.42573,1367,5804,1.1,1.03,4.36
HAT-P-58 b,HAT-P-58,1,1,Transit,,2021-07-26,2021,HATNet,4.0138379,0.04994,14.93,118.23217,1622,6078,1.53,1.03,4.08
HAT-P-59 b,HAT-P-59,1,1,Transit,,2021-07-26,2021,HATNet,4.1419771,0.05064,12.588,489.45575,1278,5678,1.1,1.01,4.36
HAT-P-60 b,HAT-P-60,1,1,Transit,,2021-07-26,2021,HATNet,4.7947813,0.06277,18.282,182.43351,1772,6212,2.2,1.44,3.91
HAT-P-61 b,HAT-P-61,1,1,Transit,,2021-07-26,2021,HATNet,1.90231289,0.0301,10.077,335.94463,1505,5587,0.94,1,4.5
HAT-P-62 b,HAT-P-62,1,1,Transit,,2021-07-26,2021,HATNet,2.6453235,0.03772,12.027,241.86742,1512,5629,1.17,1.02,4.31
HAT-P-63 b,HAT-P-63,1,1,Transit,,2021-07-26,2021,HATNet,3.377728,0.04294,12.543,195.14664,1237,5400,0.97,0.93,4.43
HAT-P-64 b,HAT-P-64,1,1,Transit,,2021-07-26,2021,HATNet,4.007232,0.05387,19.089,184.34048,1766,6457,1.74,1.3,4.07
HAT-P-65 b,HAT-P-65,1,1,Transit,,2024-06-10,2016,HATNet,2.60544751,0.04042,18.058,176.07694,1818,5872,1.67,1.3,4.11
HAT-P-66 b,HAT-P-66,1,1,Transit,G0,2016-09-15,2016,HATNet,2.972086,0.04363,17.822,248.86089,1896,6002,1.88,1.25,3.99
HAT-P-67 b,HAT-P-67,2,1,Transit,,2017-04-13,2017,HATNet,4.8101025,0.06505,23.371,108.0622,1903,6406,2.55,1.64,3.85
HAT-P-68 b,HAT-P-68,1,1,Transit,K,2020-12-17,2020,HATNet,2.29840551,0.02996,12.016,230.10892,1028,4508,0.67,0.68,4.62
HAT-P-69 b,HAT-P-69,1,1,Transit,,2019-08-15,2019,HATNet,4.7869491,0.06555,18.786,1137.8314,1930,7394,1.93,1.65,4.11
HAT-P-70 b,HAT-P-70,1,1,Transit,,2019-08-15,2019,HATNet,2.74432452,0.04739,20.961,2154.8874,2562,8450,1.86,1.89,4.18
HAT-P-9 b,HAT-P-9,1,1,Transit,,2019-07-11,2008,HATNet,3.92281072,0.05287,15.614,238.05467,1540,6350,1.34,1.28,4.29
HATS-1 b,HATS-1,1,1,Transit,,2014-05-14,2012,HATSouth,3.446459,0.0444,14.594,589.55,1359,5870,1.04,0.99,
HATS-10 b,HATS-10,1,1,Transit,,2015-05-21,2015,HATSouth,3.312846,0.04491,10.862,167.17858,1407,5880,1.1,1.1,4.39
HATS-13 b,HATS-13,1,1,Transit,,2015-08-13,2015,HATSouth,3.0440499,0.04057,13.585,172.58169,1244,5523,0.89,0.96,4.52
HATS-14 b,HATS-14,1,1,Transit,,2015-08-13,2015,HATSouth,2.7667641,0.03815,11.646,340.39593,1276,5346,0.93,0.97,4.48
HATS-15 b,HATS-15,1,1,Transit,G9 V,2016-06-23,2016,HATSouth,1.74748753,0.02712,12.386,689.6911,1505,5311,0.92,0.87,4.45
HATS-16 b,HATS-16,1,1,Transit,G3 V,2016-06-23,2016,HATSouth,2.686502,0.03744,14.572,1039.3041,1592,5738,1.24,0.97,4.24
HATS-17 b,HATS-17,1,1,Transit,G V,2016-09-15,2016,HATSouth,16.254611,0.1308,8.709,425.25654,814,5846,1.09,1.13,4.42
HATS-18 b,HATS-18,1,1,Transit,,2019-07-11,2016,Multiple Observatories,0.83784,0.0174,14.897,629.14449,2069,5600,1.02,1.04,
HATS-2 b,HATS-2,1,1,Transit,,2024-04-10,2013,HATSouth,1.35413379,0.02317,12.576,435.42492,1550,,0.88,0.9,4.51
HATS-22 b,HATS-22,1,1,Transit,K V,2017-03-16,2017,HATSouth,4.7228124,0.05025,10.682,870.8542,858,4803,0.69,0.76,4.64
HATS-23 b,HATS-23,1,1,Transit,G V,2017-03-16,2017,HATSouth,2.1605156,0.03397,20.849,467.2101,1654,5780,1.2,1.12,4.33
HATS-24 b,HATS-24,1,1,Transit,,2019-07-11,2017,HATSouth,1.3484978,0.0238,15.637,718.2958,2166,6125,1.12,1.07,4.37
HATS-25 b,HATS-25,1,1,Transit,G,2016-06-09,2016,HATSouth,4.2986432,0.05163,14.123,194.82979,1277,5715,1.11,0.99,4.35
HATS-26 b,HATS-26,1,1,Transit,F,2016-06-09,2016,HATSouth,3.3023881,0.04735,19.616,206.5895,1918,6071,2.04,1.3,3.94
HATS-27 b,HATS-27,1,1,Transit,F,2016-06-09,2016,HATSouth,4.637038,0.0611,16.814,168.4499,1659,6438,1.74,1.42,4.11
HATS-28 b,HATS-28,1,1,Transit,G,2016-06-09,2016,HATSouth,3.1810781,0.04131,13.384,213.58176,1253,5498,0.92,0.93,4.48
HATS-29 b,HATS-29,1,1,Transit,G,2016-06-09,2016,HATSouth,4.6058749,0.05475,14.022,207.54299,1212,5670,1.07,1.03,4.39
HATS-3 b,HATS-3,1,1,Transit,F,2014-05-14,2013,HATSouth,3.547851,0.0485,15.48,340.382,1648,6351,1.4,1.21,4.22
HATS-30 b,HATS-30,2,1,Transit,G,2016-06-09,2016,HATSouth,3.1743516,0.04354,13.171,224.38798,1414,5943,1.06,1.09,4.42
HATS-31 b,HATS-31,1,1,Transit,,2016-12-01,2016,HATSouth,3.37796,0.0478,18.383,279.6904,1823,6050,1.87,1.27,4
HATS-32 b,HATS-32,1,1,Transit,,2016-12-01,2016,HATSouth,2.8126548,0.04024,14,292.4036,1437,5700,1.1,1.1,4.4
HATS-33 b,HATS-33,1,1,Transit,,2016-12-01,2016,HATSouth,2.5495551,0.03727,13.787,378.85336,1429,5659,1.02,1.06,4.45
HATS-34 b,HATS-34,1,1,Transit,,2016-12-01,2016,HATSouth,2.1061607,0.03166,16.029,299.07803,1445,5380,0.98,0.95,4.43
HATS-35 b,HATS-35,1,1,Transit,,2016-12-01,2016,HATSouth,1.8209993,0.03199,16.41,388.38826,2037,6300,1.43,1.32,4.24
HATS-37 A b,HATS-37 A,2,1,Transit,,2020-08-13,2020,HATSouth,4.3315366,0.04913,6.793,31.46517,1085,5326,0.88,0.84,4.48
HATS-38 b,HATS-38,1,1,Transit,,2020-08-13,2020,HATSouth,4.375021,0.05036,6.882,23.51942,1294,5732,1.1,0.89,4.3
HATS-39 b,HATS-39,1,1,Transit,,2018-04-12,2018,HATSouth,4.5776348,0.06007,17.598,200.2329,1645,6572,1.62,1.38,4.16
HATS-4 b,HATS-4,1,1,Transit,G,2014-07-02,2014,HATSouth,2.516729,0.0362,11.433,420.471,1315,5403,0.93,1,4.51
HATS-40 b,HATS-40,1,1,Transit,,2018-04-12,2018,HATSouth,3.2642736,0.04997,17.71,505.3497,2101,6460,2.26,1.56,3.92
HATS-41 b,HATS-41,1,1,Transit,,2018-04-12,2018,HATSouth,4.193649,0.0583,14.908,3082.951,1710,6424,1.71,1.5,4.14
HATS-42 b,HATS-42,1,1,Transit,,2018-04-12,2018,HATSouth,2.292102,0.03689,15.693,597.5204,1856,6060,1.48,1.27,4.2
HATS-43 b,HATS-43,1,1,Transit,,2018-05-24,2018,HATSouth,4.3888497,0.04944,13.227,82.95363,1003,5099,0.81,0.84,4.54
HATS-44 b,HATS-44,1,1,Transit,,2018-05-24,2018,HATSouth,2.7439004,0.03649,11.96,177.9848,1161,5080,0.85,0.86,4.51
HATS-45 b,HATS-45,1,1,Transit,,2018-05-24,2018,HATSouth,4.1876244,0.05511,14.415,222.481,1518,6450,1.31,1.27,4.3
HATS-46 b,HATS-46,1,1,Transit,,2018-05-24,2018,HATSouth,4.7423729,0.05367,10.122,54.98459,1054,5495,0.85,0.92,4.54
HATS-47 b,HATS-47,1,1,Transit,,2020-02-27,2020,HATSouth,3.9228038,0.04269,12.52,117.27927,853,4512,0.66,0.67,4.63
HATS-48 A b,HATS-48 A,2,1,Transit,,2020-02-27,2020,HATSouth,3.1316666,0.03769,8.967,77.23269,955,4546,0.72,0.73,4.59
HATS-49 b,HATS-49,1,1,Transit,,2020-02-27,2020,HATSouth,4.1480467,0.04515,8.575,112.19399,835,4405,0.7,0.71,4.6
HATS-5 b,HATS-5,1,1,Transit,G,2014-05-14,2014,HATSouth,4.763387,0.0542,10.223,75.323,1025,5304,0.87,0.94,4.53
HATS-51 b,HATS-51,1,1,Transit,,2018-01-05,2017,HATSouth,3.3488702,0.04639,15.805,244.09344,1553,5758,1.44,1.19,4.2
HATS-52 b,HATS-52,1,1,Transit,,2018-01-05,2017,HATSouth,1.36665436,0.02498,15.491,711.9392,1834,6010,1.05,1.11,4.45
HATS-53 b,HATS-53,1,1,Transit,,2018-01-05,2017,HATSouth,3.8537768,0.04753,15.02,189.10885,1312,5644,1.1,0.96,4.34
HATS-54 b,HATS-54,1,1,Transit,G6 V,2023-01-04,2019,HATSouth,2.5441765,0.037,11.377,239.32479,1429,5621,1.23,1.05,4.2
HATS-55 b,HATS-55,1,1,Transit,,2019-08-15,2019,HATSouth,4.2042001,0.05412,14.022,292.72143,1367,6214,1.13,1.2,4.41
HATS-56 b,HATS-56,1,1,Transit,,2019-08-15,2019,HATSouth,4.324799,0.06043,18.921,191.33366,1902,6536,2.2,1.57,3.95
HATS-57 b,HATS-57,1,1,Transit,,2019-08-15,2019,HATSouth,2.350621,0.03493,12.767,1000.21101,1413,5587,0.96,1.03,4.48
HATS-58 A b,HATS-58 A,2,1,Transit,,2019-08-15,2019,HATSouth,4.2180896,0.05798,12.274,327.3649,1721,7175,1.43,1.46,4.29
HATS-59 b,HATS-59,1,2,Transit,,2018-12-06,2018,HATSouth,5.416081,0.06112,12.621,256.17098,1128,5670,1.04,1.04,4.42
HATS-6 b,HATS-6,1,1,Transit,M1 V,2015-05-14,2015,HATSouth,3.3252725,0.03623,11.187,101.38777,713,3724,0.57,0.57,4.68
HATS-60 b,HATS-60,1,1,Transit,,2024-07-12,2018,HATSouth,3.560829,0.04708,12.924,210.40346,1528,5688,1.46,1.1,4.15
HATS-61 b,HATS-61,1,1,Transit,,2024-07-12,2018,HATSouth,7.817953,0.07908,13.395,1080.622,1226,5542,1.66,1.08,4.03
HATS-62 b,HATS-62,1,1,Transit,,2024-07-12,2018,HATSouth,3.2768837,0.04163,11.825,56.89157,1237,5416,0.93,0.9,4.45
HATS-63 b,HATS-63,1,1,Transit,,2024-07-12,2018,HATSouth,3.0566527,0.04026,13.529,305.1168,1398,5627,1.07,0.93,4.35
HATS-64 b,HATS-64,1,1,Transit,,2024-07-12,2018,HATSouth,4.908897,0.06562,18.82,305.1168,1793,6554,2.11,1.56,3.98
HATS-65 b,HATS-65,2,1,Transit,,2024-07-12,2018,HATSouth,3.105161,0.04497,16.825,260.93843,1634,6277,1.31,1.26,4.3
HATS-66 b,HATS-66,1,1,Transit,,2024-07-12,2018,HATSouth,3.1414391,0.04714,15.816,1694.0339,1998,6626,1.84,1.41,4.06
HATS-67 b,HATS-67,1,1,Transit,,2024-07-12,2018,HATSouth,1.6091788,0.03032,18.887,460.8535,2193,6594,1.44,1.44,4.28
HATS-68 b,HATS-68,1,1,Transit,,2024-07-12,2018,HATSouth,3.5862202,0.05071,13.809,410.0007,1741,6147,1.75,1.35,4.08
HATS-69 b,HATS-69,1,1,Transit,,2024-07-12,2018,HATSouth,2.2252577,0.03211,10.593,183.38791,1296,5137,0.88,0.89,4.5
HATS-7 b,HATS-7,1,1,Transit,K2,2018-05-24,2015,HATSouth,3.185315,0.04012,6.311,38.1396,1084,4985,0.81,0.85,4.54
HATS-70 b,HATS-70,1,1,Transit,,2019-02-14,2019,HATSouth,1.8882378,0.03632,15.513,4100.007,2730,7930,1.88,1.78,4.17
HATS-71 b,HATS-71,1,1,Transit,M3 V,2020-09-24,2020,HATSouth,3.7955202,0.03745,11.478,117.5971,587,3405,0.48,0.49,4.77
HATS-72 b,HATS-72,1,1,Transit,,2020-02-27,2020,HATSouth,7.3279474,0.066517,8.097,39.85588,739,4656.1,0.72,0.73,4.59
HATS-74 A b,HATS-74 A,2,1,Transit,,2021-12-13,2021,HATSouth,1.73185606,0.02384,11.568,464.02947,895,3776.9,0.58,0.6,4.7
HATS-75 b,HATS-75,1,1,Transit,,2021-12-13,2021,HATSouth,2.7886556,0.032742,9.909,156.05375,772,3790.4,0.58,0.6,4.68
HATS-76 b,HATS-76,1,1,Transit,,2021-12-13,2021,HATSouth,1.9416423,0.02658,12.094,835.57088,940,4016,0.63,0.66,4.67
HATS-77 b,HATS-77,1,1,Transit,,2021-12-13,2021,HATSouth,3.0876262,0.03607,13.058,436.69623,828,4071,0.64,0.66,4.64
HATS-8 b,HATS-8,1,1,Transit,,2015-06-17,2015,HATSouth,3.583893,0.04667,9.785,43.86054,1324,5679,1.09,1.06,4.39
HD 106315 b,HD 106315,1,2,Transit,F5 V,2019-07-25,2017,K2,9.55237,0.0907,2.44,12.6,1153,6327,1.3,1.09,4.25
HD 106315 c,HD 106315,1,2,Transit,F5 V,2019-07-25,2017,K2,21.05704,0.1536,4.35,15.2,886,6327,1.3,1.09,4.25
HD 110067 b,HD 110067,3,6,Transit,K0.0 V,2023-12-05,2023,Multiple Observatories,9.113678,0.0793,2.2,5.69,800,5266,0.79,0.8,4.54
HD 110067 c,HD 110067,3,6,Transit,K0.0 V,2023-12-05,2023,Multiple Observatories,13.673694,0.1039,2.388,6.3,699,5266,0.79,0.8,4.54
HD 110067 d,HD 110067,3,6,Transit,K0.0 V,2023-12-05,2023,Multiple Observatories,20.519617,0.1362,2.852,8.52,602,5266,0.79,0.8,4.54
HD 110067 e,HD 110067,3,6,Transit,K0.0 V,2023-12-05,2023,Multiple Observatories,30.793091,0.1785,1.94,3.9,533,5266,0.79,0.8,4.54
HD 110067 f,HD 110067,3,6,Transit,K0.0 V,2023-12-05,2023,Multiple Observatories,41.05854,0.2163,2.601,5.04,489,5266,0.79,0.8,4.54
HD 110067 g,HD 110067,3,6,Transit,K0.0 V,2023-12-05,2023,Multiple Observatories,54.76992,0.2621,2.607,8.4,440,5266,0.79,0.8,4.54
HD 110113 b,HD 110113,1,2,Transit,G,2021-02-11,2021,Transiting Exoplanet Survey Satellite (TESS),2.541,0.035,2.05,4.55,1371,5732,0.97,1,4.46
HD 118203 b,HD 118203,1,2,Radial Velocity,K0 IV,2024-08-22,2005,Haute-Provence Observatory,6.134989,0.0701,12.554,693.50158,1371,5788,2.03,1.22,3.99
HD 135694 b,HD 135694,1,1,Transit,,2024-07-23,2023,Transiting Exoplanet Survey Satellite (TESS),15.92346,0.12,2.532,6.1,751,5698,1.07,0.91,4.33
HD 136352 b,HD 136352,1,3,Radial Velocity,,2021-08-09,2019,La Silla Observatory,11.57797,0.0964,1.664,4.72,905,5664,1.06,0.87,4.39
HD 136352 c,HD 136352,1,3,Radial Velocity,,2021-08-09,2019,La Silla Observatory,27.59221,0.1721,2.916,11.24,677,5664,1.06,0.87,4.39
HD 136352 d,HD 136352,1,3,Radial Velocity,,2021-08-09,2019,La Silla Observatory,107.245,0.425,2.562,8.82,431,5664,1.06,0.87,4.39
HD 137496 b,HD 137496,1,2,Transit,G,2021-11-18,2021,K2,1.62116,0.02732,1.31,4.04,2130,5799,1.59,1.04,4.05
HD 1397 b,HD 1397,1,1,Transit,,2019-07-25,2018,Transiting Exoplanet Survey Satellite (TESS),11.53533,0.1097,11.5,131.89945,1228,5521,2.34,1.32,3.82
HD 15337 b,HD 15337,1,2,Transit,K1 V,2019-05-16,2019,Transiting Exoplanet Survey Satellite (TESS),4.75615,0.0522,1.64,7.51,1001,5125,0.86,0.9,4.53
HD 15337 c,HD 15337,1,2,Transit,K1 V,2019-05-16,2019,Transiting Exoplanet Survey Satellite (TESS),17.1784,0.1268,2.39,8.11,642,5125,0.86,0.9,4.53
HD 183579 b,HD 183579,1,1,Transit,,2024-07-12,2021,Transiting Exoplanet Survey Satellite (TESS),17.471278,0.1334,3.55,19.7,769,5788,0.98,1.03,4.5
HD 191939 b,HD 191939,1,6,Transit,G9 V,2022-11-14,2020,Transiting Exoplanet Survey Satellite (TESS),8.8803256,0.0804,3.41,10,880,5348,0.94,0.81,4.3
HD 191939 c,HD 191939,1,6,Transit,G9 V,2022-11-14,2020,Transiting Exoplanet Survey Satellite (TESS),28.579743,0.1752,3.195,8,600,5348,0.94,0.81,4.3
HD 191939 d,HD 191939,1,6,Transit,G9 V,2022-11-14,2020,Transiting Exoplanet Survey Satellite (TESS),38.353037,0.2132,2.995,2.8,540,5348,0.94,0.81,4.3
HD 202772 A b,HD 202772 A,2,1,Transit,,2019-01-31,2019,Transiting Exoplanet Survey Satellite (TESS),3.308958,0.05208,17.318,323.23311,2132,6272,2.59,1.72,3.85
HD 203030 b,HD 203030,1,1,Imaging,G8 V,2021-09-08,2006,Palomar Observatory,,,14.46,3496.11248,1040,,,,
HD 20329 b,HD 20329,1,1,Transit,,2022-11-29,2022,Transiting Exoplanet Survey Satellite (TESS),0.926118,0.018,1.72,7.42,2141,5596,1.13,0.9,4.4
HD 206893 b,HD 206893,1,2,Imaging,F5 V,2022-12-05,2021,Gemini Observatory,9350,9.6,14.011,8899.1954,1429,,,1.32,
HD 206893 c,HD 206893,1,2,Imaging,F5 V,2022-12-05,2022,European Southern Observatory,2090,3.53,16.365,4036.42077,1182,,,1.32,
HD 207496 b,HD 207496,1,1,Transit,K2.5 V,2023-05-26,2023,Transiting Exoplanet Survey Satellite (TESS),6.441008,0.0629,2.25,6.1,743,4819,0.77,0.8,4.51
HD 207897 b,HD 207897,1,1,Transit,,2024-07-22,2021,Transiting Exoplanet Survey Satellite (TESS),16.20166,0.117,2.343,14.8,582,5106,0.78,0.82,4.56
HD 213885 b,HD 213885,1,2,Transit,G,2019-12-05,2019,Transiting Exoplanet Survey Satellite (TESS),1.008035,0.02012,1.745,8.83,2128,5978,1.1,1.07,4.38
HD 21749 c,GJ 143,1,2,Transit,K4.5,2019-04-25,2019,Transiting Exoplanet Survey Satellite (TESS),7.78993,0.0695,0.892,3.7,701,4640,0.69,0.73,4.61
HD 219134 b,HD 219134,1,6,Radial Velocity,,2017-03-16,2015,Roque de los Muchachos Observatory,3.092926,0.03876,1.602,4.74,1015,4699,0.78,0.81,4.57
HD 219134 c,HD 219134,1,6,Radial Velocity,,2017-03-16,2015,Roque de los Muchachos Observatory,6.76458,0.0653,1.511,4.36,782,4699,0.78,0.81,4.57
HD 219134 d,HD 219134,1,6,Radial Velocity,,2017-03-16,2015,Roque de los Muchachos Observatory,46.859,0.237,1.61,16.17,410,4699,0.78,0.81,4.57
HD 219134 f,HD 219134,1,6,Radial Velocity,,2017-03-16,2015,Multiple Observatories,22.717,0.1463,1.31,7.3,523,4699,0.78,0.81,4.57
HD 22946 d,HD 22946,1,3,Transit,,2023-07-10,2023,Transiting Exoplanet Survey Satellite (TESS),47.42489,0.2958,2.607,26.57,546,6169,1.12,1.1,4.47
HD 23472 b,HD 23472,1,5,Transit,K4 V,2022-10-03,2019,Transiting Exoplanet Survey Satellite (TESS),17.667087,0.1162,2,8.32,543,4684,0.71,0.67,4.53
HD 23472 c,HD 23472,1,5,Transit,K4 V,2022-10-03,2019,Transiting Exoplanet Survey Satellite (TESS),29.79749,0.1646,1.87,3.41,467,4684,0.71,0.67,4.53
HD 23472 d,HD 23472,1,5,Transit,K4 V,2022-10-03,2022,Transiting Exoplanet Survey Satellite (TESS),3.97664,0.04298,0.75,0.55,909,4684,0.71,0.67,4.53
HD 23472 e,HD 23472,1,5,Transit,K4 V,2022-10-03,2022,Transiting Exoplanet Survey Satellite (TESS),7.90754,0.068,0.818,0.72,723,4684,0.71,0.67,4.53
HD 23472 f,HD 23472,1,5,Transit,K4 V,2022-10-03,2022,Transiting Exoplanet Survey Satellite (TESS),12.1621839,0.0906,1.137,0.77,630,4684,0.71,0.67,4.53
HD 235088 b,HD 235088,1,1,Transit,,2024-07-23,2023,Transiting Exoplanet Survey Satellite (TESS),7.434151,0.071,2.075,4.2,754,5087,0.8,0.85,4.56
HD 25463 b,HD 25463,1,2,Transit,,2024-07-23,2023,Transiting Exoplanet Survey Satellite (TESS),7.0491423,0.076,2.545,8.7,1198,6353,1.42,1.25,4.23
HD 25463 c,HD 25463,1,2,Transit,,2024-07-23,2023,Transiting Exoplanet Survey Satellite (TESS),3.04405,0.0443,1.364,4.3,1586,6353,1.42,1.25,4.23
HD 260655 b,HD 260655,1,2,Transit,M0 V,2022-06-27,2022,Transiting Exoplanet Survey Satellite (TESS),2.76953,0.02933,1.24,2.14,709,3803,0.44,0.44,5.2
HD 260655 c,HD 260655,1,2,Transit,M0 V,2022-06-27,2022,Transiting Exoplanet Survey Satellite (TESS),5.70588,0.04749,1.533,3.09,557,3803,0.44,0.44,5.2
HD 2685 b,HD 2685,1,1,Transit,,2019-10-24,2019,Transiting Exoplanet Survey Satellite (TESS),4.12688,0.0568,16.141,371.8611,2061,6801,1.56,1.43,4.21
HD 28109 b,HD 28109,1,3,Transit,F8/G0 V,2022-06-08,2022,Transiting Exoplanet Survey Satellite (TESS),22.89104,0.1357,2.199,18.496,881,6120,1.45,1.26,4.13
HD 28109 c,HD 28109,1,3,Transit,F8/G0 V,2022-06-08,2022,Transiting Exoplanet Survey Satellite (TESS),56.00819,0.308,4.23,7.943,585,6120,1.45,1.26,4.13
HD 28109 d,HD 28109,1,3,Transit,F8/G0 V,2022-06-08,2022,Transiting Exoplanet Survey Satellite (TESS),84.25999,0.411,3.25,5.681,506,6120,1.45,1.26,4.13
HD 3167 b,HD 3167,1,4,Transit,,2023-04-17,2016,K2,0.959641,0.01796,1.67,4.97,1774,5261,0.88,0.84,
HD 3167 c,HD 3167,1,4,Transit,,2023-04-17,2016,K2,29.8454,0.1776,3,11.13,564,5261,0.88,0.84,
HD 332231 b,HD 332231,1,1,Transit,,2024-07-23,2020,Transiting Exoplanet Survey Satellite (TESS),18.712024,0.145,9.073,74.1,798,6128,1.27,1.16,4.3
HD 42813 b,HD 42813,1,3,Transit,,2024-07-23,2023,Transiting Exoplanet Survey Satellite (TESS),13.630828,0.11,3.426,5.9,703,5323,0.98,0.95,4.42
HD 5278 b,HD 5278,1,2,Transit,F V,2021-04-23,2021,Transiting Exoplanet Survey Satellite (TESS),14.339156,0.1202,2.45,7.8,943,6203,1.19,1.13,4.5
HD 6061 b,HD 6061,2,1,Transit,,2024-07-23,2023,Transiting Exoplanet Survey Satellite (TESS),5.2549,0.06,2.428,10,1075,5934,1.01,1.03,4.44
