pl_name,hostname,sy_snum,sy_pnum,discoverymethod,st_spectype,releasedate,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_logg
WASP-165 b,WASP-165,1,1,Transit,G6,2018-11-01,2018,SuperWASP-South,3.465509,0.04823,14.123,209.13214,1624,5599,1.75,1.25,
WASP-166 b,WASP-166,1,1,Transit,F9 V,2019-07-25,2019,WASP-South,5.44354,0.0641,7.062,32.10083,1270,6050,1.22,1.19,4.34
WASP-167 b,WASP-167,1,1,Transit,F1 V,2017-07-27,2017,Multiple Observatories,2.0219596,0.0365,17.71,2542.64,2329,7000,1.79,1.59,4.13
WASP-168 b,WASP-168,2,1,Transit,F9 V,2018-10-26,2018,SuperWASP-South,4.153658,0.0519,16.814,133.4886,1340,6000,1.12,1.08,4.37
WASP-169 b,WASP-169,1,1,Transit,F8,2019-09-12,2019,WASP-South,5.6114118,0.0681,14.617,178.30263,1604,6110,2.01,1.34,3.96
WASP-170 b,WASP-170,1,1,Transit,,2018-12-13,2018,SuperWASP-South,2.34478022,0.0337,12.285,508.528,1422,5600,0.94,0.93,4.47
WASP-171 b,WASP-171,1,1,Transit,G0,2019-09-12,2019,WASP-South,3.8186244,0.0504,10.985,344.52772,1642,5965,1.64,1.17,4.08
WASP-172 b,WASP-172,1,1,Transit,F1 V,2018-10-26,2018,SuperWASP-South,5.477433,0.0694,17.598,149.3801,1740,6900,1.91,1.49,4.05
WASP-173 A b,WASP-173 A,2,1,Transit,G3,2018-10-26,2018,SuperWASP-South,1.38665318,0.0248,13.451,1172.7927,1880,5800,1.11,1.05,4.37
WASP-174 b,WASP-174,1,1,Transit,,2022-01-24,2018,SuperWASP-South,4.2337005,0.05503,16.107,104.88337,1528,6399,1.35,1.24,4.27
WASP-175 b,WASP-175,1,1,Transit,F7,2019-09-12,2019,WASP-South,3.0652907,0.04403,13.54,314.6517,1571,6229,1.2,1.21,4.36
WASP-176 b,WASP-176,1,1,Transit,F9,2020-05-21,2020,SuperWASP-North,3.899052,0.0535,16.87,271.74465,1721,5941,1.93,1.34,4
WASP-177 b,WASP-177,1,1,Transit,K2,2019-04-18,2019,SuperWASP,3.071722,0.03957,17.71,161.45764,1142,5017,0.89,0.88,4.49
WASP-178 b,WASP-178,1,1,Transit,A1 IV-V,2019-10-10,2019,WASP-South,3.3448285,0.0558,20.288,527.5978,2470,9360,1.67,2.07,4.31
WASP-18 b,WASP-18,2,2,Transit,,2022-01-31,2009,SuperWASP,0.94145223,0.02024,13.899,3241.84975,2429,6432,1.32,1.29,4.31
WASP-180 A b,WASP-180 A,2,1,Transit,F7 V,2019-09-26,2019,SuperWASP,3.409264,0.048,13.899,286.047,1540,6600,1.19,1.3,4.42
WASP-181 b,WASP-181,1,1,Transit,G2,2019-04-18,2019,SuperWASP,4.5195064,0.05427,13.271,95.03117,1186,5839,0.96,1.04,4.49
WASP-182 b,WASP-182,1,1,Transit,G5,2019-09-12,2019,WASP-South,3.3769848,0.0451,9.528,47.03884,1479,5638,1.34,1.08,4.22
WASP-183 b,WASP-183,1,1,Transit,G9,2019-04-18,2019,SuperWASP,4.1117771,0.04632,16.477,159.55066,1111,5313,0.87,0.78,4.45
WASP-184 b,WASP-184,1,1,Transit,G0 V,2019-10-10,2019,WASP-South,5.1817,0.0627,14.908,181.1631,1480,6000,1.65,1.23,4.09
WASP-185 b,WASP-185,1,1,Transit,G0 V,2019-10-10,2019,WASP-South,9.38755,0.0904,14.011,311.4734,1160,5900,1.5,1.12,4.13
WASP-189 b,WASP-189,1,1,Transit,,2022-03-16,2020,CHaracterising ExOPlanets Satellite (CHEOPS),2.724033,0.05053,18.147,632.47853,3353,8000,2.36,2.03,3.9
WASP-19 b,WASP-19,1,1,Transit,,2022-01-31,2009,SuperWASP,0.78883852,0.01652,15.861,366.77398,2113,5616,1.01,0.96,4.42
WASP-190 b,WASP-190,1,1,Transit,F6 IV-V,2019-03-05,2019,WASP-South,5.367753,0.0663,12.89,317.83,1500,6400,1.6,1.35,4.17
WASP-192 b,WASP-192,1,1,Transit,G0 V,2019-10-10,2019,WASP-South,2.8786765,0.0408,13.787,731.009,1620,5910,1.32,1.09,4.24
WASP-193 b,WASP-193,1,1,Transit,F9,2023-07-26,2023,WASP-South,6.2463345,0.0676,16.41,44.17815,1254,6078,1.24,1.06,4.28
WASP-2 b,WASP-2,2,1,Transit,,2019-09-26,2007,SuperWASP,2.152175,0.03144,12.117,295.89973,1311,5180,0.87,0.9,4.51
WASP-20 b,WASP-20,2,1,Transit,F9,2015-03-05,2015,SuperWASP,4.8996284,0.06,16.388,98.841,1379,5940,1.39,1.2,4.23
WASP-28 b,WASP-28,1,1,Transit,,2022-02-22,2014,SuperWASP,3.40883495,0.0442,13.664,282.54945,1456,,1.08,0.99,
WASP-33 b,WASP-33,2,1,Transit,,2019-07-11,2010,SuperWASP,1.21987,0.0239,17.856,665.21819,2782,7430,1.44,1.5,
WASP-36 b,WASP-36,2,1,Transit,,2016-04-07,2011,SuperWASP,1.53736596,0.02677,14.874,750.39663,1733,5959,0.98,1.08,4.49
WASP-42 b,WASP-42,1,1,Transit,,2016-02-25,2012,SuperWASP,4.9816819,0.0561,12.576,167.49641,1021,5315,0.89,0.95,4.51
WASP-44 b,WASP-44,1,1,Transit,G8 V,2019-09-26,2011,SuperWASP,2.423804,0.03453,12.33,276.5121,1337,5420,0.91,0.94,4.49
WASP-45 b,WASP-45,2,1,Transit,,2019-09-26,2011,SuperWASP,3.126089,0.03963,10.604,306.38812,1153,5150,0.85,0.85,4.5
WASP-46 b,WASP-46,1,1,Transit,G6 V,2015-12-03,2011,SuperWASP,1.43036763,0.02335,13.159,607.0553,1636,5600,0.86,0.83,4.49
WASP-5 b,WASP-5,1,1,Transit,,2014-10-29,2008,SuperWASP,1.6284279,0.0267,12.184,502.15,1706,5700,1.03,0.96,4.39
WASP-50 b,WASP-50,1,1,Transit,,2019-07-11,2011,SuperWASP,1.9551,0.0293,13.07,466.8287,1395,5400,0.84,0.89,
WASP-52 b,WASP-52,1,1,Transit,K2 V,2014-05-14,2012,SuperWASP,1.7497798,0.0272,14.24,146.2,1315,5000,0.79,0.87,4.58
WASP-53 b,WASP-53,1,2,Transit,,2017-02-02,2017,Multiple Facilities,3.3098443,0.04101,12.038,677.61356,1053,4953,0.8,0.84,4.55
WASP-57 b,WASP-57,1,1,Transit,,2015-10-15,2012,SuperWASP,2.83891856,0.03769,11.769,204.68252,1338,5600,0.93,0.89,4.45
WASP-59 b,WASP-59,1,1,Transit,K5 V,2014-05-14,2012,SuperWASP,7.919585,0.0697,8.687,274.276,670,4650,0.61,0.72,4.72
WASP-64 b,WASP-64,2,1,Transit,G7,2014-05-14,2012,SuperWASP,1.5732918,0.02648,14.247,403.945,1689,5400,1.06,1,4.39
WASP-65 b,WASP-65,1,1,Transit,G6,2014-05-14,2013,SuperWASP,2.3114243,0.0334,12.464,492.62,1480,5600,1.01,0.93,4.4
WASP-7 b,WASP-7,1,1,Transit,,2016-01-14,2008,SuperWASP,4.9546416,0.0617,14.908,305.1168,1487,6400,1.43,1.28,4.23
WASP-70 A b,WASP-70 A,2,1,Transit,G4,2014-10-15,2014,SuperWASP,3.7130203,0.04853,13.047,187.512,1387,5763,1.22,1.11,4.31
WASP-75 b,WASP-75,2,1,Transit,F9,2014-05-14,2013,SuperWASP,2.484193,0.0375,14.235,340.06,1710,6100,1.26,1.14,4.29
WASP-76 b,WASP-76,2,1,Transit,F7,2024-07-12,2016,SuperWASP,1.80988198,0.033,20.781,284.1386,2228,6329,1.76,1.46,4.2
WASP-77 A b,WASP-77 A,2,1,Transit,,2022-01-31,2012,SuperWASP,1.36002854,0.02335,13.787,529.81995,1715,5617,0.91,0.9,4.48
WASP-79 b,WASP-79,1,1,Transit,F5,2023-08-22,2012,SuperWASP,3.662392,0.0519,17.15,270.15415,1716,6600,1.51,1.39,4.2
WASP-80 b,WASP-80,1,1,Transit,,2015-04-16,2012,SuperWASP,3.06785234,0.0344,11.198,170.99254,825,4143,0.59,0.58,4.66
WASP-81 b,WASP-81,1,1,Transit,,2017-02-02,2017,Multiple Facilities,2.7164762,0.03908,16.018,231.69807,1623,5870,1.28,1.08,4.26
WASP-83 b,WASP-83,1,1,Transit,G8,2015-07-09,2015,SuperWASP,4.971252,0.059,11.657,95.349,1120,5510,1.05,1.11,4.44
WASP-84 b,WASP-84,1,2,Transit,K0,2023-07-10,2014,SuperWASP,8.52349648,0.0778,10.72,220,732,,0.77,0.85,
WASP-84 c,WASP-84,1,2,Transit,K0,2023-07-10,2023,Transiting Exoplanet Survey Satellite (TESS),1.4468849,0.02359,1.95,15.2,1329,,0.77,0.85,
WASP-85 A b,WASP-85 A,2,1,Transit,G5 V,2016-07-07,2016,K2,2.6556777,0.039,13.899,402.05495,1452,6112,0.94,1.09,
